wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;Ca³y kraj;6055;1,58;142;37;105;t0000
dolnoœl¹skie;boles³awiecki;14;1,56;0;0;0;t0201
dolnoœl¹skie;dzier¿oniowski;4;0,40;0;0;0;t0202
dolnoœl¹skie;g³ogowski;8;0,90;0;0;0;t0203
dolnoœl¹skie;górowski;5;1,44;0;0;0;t0204
dolnoœl¹skie;jaworski;16;3,20;0;0;0;t0205
dolnoœl¹skie;jeleniogórski;6;0,95;0;0;0;t0206
dolnoœl¹skie;kamiennogórski;5;1,16;0;0;0;t0207
dolnoœl¹skie;k³odzki;15;0,95;0;0;0;t0208
dolnoœl¹skie;legnicki;4;0,72;0;0;0;t0209
dolnoœl¹skie;lubañski;15;2,77;0;0;0;t0210
dolnoœl¹skie;lubiñski;6;0,57;1;0;1;t0211
dolnoœl¹skie;lwówecki;1;0,22;0;0;0;t0212
dolnoœl¹skie;milicki;0;0;0;0;0;t0213
dolnoœl¹skie;oleœnicki;10;0,93;0;0;0;t0214
dolnoœl¹skie;o³awski;13;1,69;0;0;0;t0215
dolnoœl¹skie;polkowicki;6;0,95;0;0;0;t0216
dolnoœl¹skie;strzeliñski;2;0,46;0;0;0;t0217
dolnoœl¹skie;œredzki;3;0,54;0;0;0;t0218
dolnoœl¹skie;œwidnicki;9;0,57;0;0;0;t0219
dolnoœl¹skie;trzebnicki;14;1,64;0;0;0;t0220
dolnoœl¹skie;wa³brzyski;7;1,26;0;0;0;t0221
dolnoœl¹skie;wo³owski;7;1,50;0;0;0;t0222
dolnoœl¹skie;wroc³awski;19;1,23;0;0;0;t0223
dolnoœl¹skie;z¹bkowicki;1;0,16;0;0;0;t0224
dolnoœl¹skie;zgorzelecki;10;1,13;0;0;0;t0225
dolnoœl¹skie;z³otoryjski;2;0,46;0;0;0;t0226
dolnoœl¹skie;Jelenia Góra;6;0,76;0;0;0;t0261
dolnoœl¹skie;Legnica;7;0,71;0;0;0;t0262
dolnoœl¹skie;Wroc³aw;67;1,04;0;0;0;t0264
dolnoœl¹skie;Wa³brzych;19;1,72;0;0;0;t0265
kujawsko-pomorskie;aleksandrowski;4;0,73;0;0;0;t0401
kujawsko-pomorskie;brodnicki;8;1,01;2;0;2;t0402
kujawsko-pomorskie;bydgoski;53;4,44;0;0;0;t0403
kujawsko-pomorskie;che³miñski;26;5,02;2;0;2;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;17;3,78;1;0;1;t0405
kujawsko-pomorskie;grudzi¹dzki;8;1,99;1;1;0;t0406
kujawsko-pomorskie;inowroc³awski;38;2,39;2;0;2;t0407
kujawsko-pomorskie;lipnowski;16;2,44;0;0;0;t0408
kujawsko-pomorskie;mogileñski;23;5,05;0;0;0;t0409
kujawsko-pomorskie;nakielski;35;4,06;0;0;0;t0410
kujawsko-pomorskie;radziejowski;2;0,50;0;0;0;t0411
kujawsko-pomorskie;rypiñski;8;1,84;0;0;0;t0412
kujawsko-pomorskie;sêpoleñski;19;4,64;0;0;0;t0413
kujawsko-pomorskie;œwiecki;38;3,84;0;0;0;t0414
kujawsko-pomorskie;toruñski;30;2,75;0;0;0;t0415
kujawsko-pomorskie;tucholski;17;3,52;0;0;0;t0416
kujawsko-pomorskie;w¹brzeski;14;4,10;0;0;0;t0417
kujawsko-pomorskie;w³oc³awski;8;0,93;3;0;3;t0418
kujawsko-pomorskie;¿niñski;38;5,42;0;0;0;t0419
kujawsko-pomorskie;Bydgoszcz;154;4,44;0;0;0;t0461
kujawsko-pomorskie;Grudzi¹dz;32;3,40;0;0;0;t0462
kujawsko-pomorskie;Toruñ;60;2,98;2;0;2;t0463
kujawsko-pomorskie;W³oc³awek;10;0,91;3;0;3;t0464
lubelskie;bialski;18;1,63;0;0;0;t0601
lubelskie;bi³gorajski;14;1,39;0;0;0;t0602
lubelskie;che³mski;14;1,80;0;0;0;t0603
lubelskie;hrubieszowski;9;1,44;0;0;0;t0604
lubelskie;janowski;6;1,32;1;0;1;t0605
lubelskie;krasnostawski;9;1,43;0;0;0;t0606
lubelskie;kraœnicki;13;1,37;0;0;0;t0607
lubelskie;lubartowski;16;1,82;0;0;0;t0608
lubelskie;lubelski;21;1,35;0;0;0;t0609
lubelskie;³êczyñski;21;3,67;0;0;0;t0610
lubelskie;³ukowski;5;0,47;0;0;0;t0611
lubelskie;opolski;5;0,85;0;0;0;t0612
lubelskie;parczewski;2;0,58;0;0;0;t0613
lubelskie;pu³awski;43;3,81;0;0;0;t0614
lubelskie;radzyñski;4;0,68;0;0;0;t0615
lubelskie;rycki;14;2,51;0;0;0;t0616
lubelskie;œwidnicki;7;0,98;2;2;0;t0617
lubelskie;tomaszowski;9;1,09;0;0;0;t0618
lubelskie;w³odawski;13;3,40;0;0;0;t0619
lubelskie;zamojski;4;0,38;0;0;0;t0620
lubelskie;Bia³a Podlaska;9;1,57;0;0;0;t0661
lubelskie;Che³m;18;2,92;2;0;2;t0662
lubelskie;Lublin;37;1,09;5;0;5;t0663
lubelskie;Zamoœæ;7;1,11;0;0;0;t0664
lubuskie;gorzowski;16;2,22;0;0;0;t0801
lubuskie;kroœnieñski;32;5,85;4;2;2;t0802
lubuskie;miêdzyrzecki;14;2,44;0;0;0;t0803
lubuskie;nowosolski;25;2,91;1;1;0;t0804
lubuskie;s³ubicki;16;3,41;0;0;0;t0805
lubuskie;strzelecko-drezdenecki;9;1,84;0;0;0;t0806
lubuskie;sulêciñski;6;1,71;0;0;0;t0807
lubuskie;œwiebodziñski;7;1,26;0;0;0;t0808
lubuskie;zielonogórski;17;2,25;0;0;0;t0809
lubuskie;¿agañski;7;0,89;0;0;0;t0810
lubuskie;¿arski;9;0,94;0;0;0;t0811
lubuskie;wschowski;2;0,52;0;0;0;t0812
lubuskie;Gorzów Wielkopolski;21;1,70;0;0;0;t0861
lubuskie;Zielona Góra;66;4,67;0;0;0;t0862
³ódzkie;be³chatowski;8;0,71;0;0;0;t1001
³ódzkie;kutnowski;15;1,56;0;0;0;t1002
³ódzkie;³aski;3;0,60;0;0;0;t1003
³ódzkie;³êczycki;10;2,02;0;0;0;t1004
³ódzkie;³owicki;8;1,03;0;0;0;t1005
³ódzkie;³ódzki wschodni;10;1,38;0;0;0;t1006
³ódzkie;opoczyñski;8;1,05;0;0;0;t1007
³ódzkie;pabianicki;28;2,35;3;0;3;t1008
