;Data;Nowe przypadki;Wszystkie przypadki kumulatywnie;Zgony;Wszystkie zgony kumulatywnie;Ozdrowieñcy (dzienna);Ozdrowieñcy (suma);Aktywne przypadki;Hospitalizacje;Kwarantanna;Nadzór;Zajête ³ó¿ka ;Respiratory
wtorek;03.03.2020;0;0;0;0;0;0;0;68;316;4459;;
œroda;04.03.2020;1;1;0;0;0;0;0;65;349;4540;;
czwartek;05.03.2020;0;1;0;0;0;0;0;92;490;5647;;
pi¹tek;06.03.2020;4;5;0;0;0;0;0;128;1299;6184;;
sobota;07.03.2020;1;6;0;0;0;0;0;146;1548;6409;;
niedziela;08.03.2020;5;11;0;0;0;0;0;168;932;7122;;
poniedzia³ek;09.03.2020;6;17;0;0;0;0;0;467;1014;7110;;
wtorek;10.03.2020;5;22;0;0;0;0;0;220;1055;9366;;
œroda;11.03.2020;9;31;0;0;0;0;0;317;1193;11524;;
czwartek;12.03.2020;20;51;1;1;0;0;0;384;2736;14841;;
pi¹tek;13.03.2020;17;68;1;2;0;0;0;521;3151;17784;;
sobota;14.03.2020;35;103;1;3;0;0;0;526;4413;20340;;
niedziela;15.03.2020;21;124;0;3;0;0;0;768;7535;25816;;
poniedzia³ek;16.03.2020;52;176;1;4;0;0;0;734;10050;30129;;
wtorek;17.03.2020;61;237;1;5;0;0;0;833;14531;35853;;
œroda;18.03.2020;48;285;0;5;0;0;0;923;21993;40110;;
czwartek;19.03.2020;68;353;0;5;0;0;0;871;28440;48660;;
pi¹tek;20.03.2020;70;423;0;5;0;0;0;898;47115;53117;;
sobota;21.03.2020;111;534;0;5;0;0;0;1047;54814;56623;;
niedziela;22.03.2020;99;633;2;7;0;0;0;1084;48632;58826;;
poniedzia³ek;23.03.2020;115;748;1;8;0;0;0;1138;55301;51142;;
wtorek;24.03.2020;152;900;2;10;0;0;0;1479;62511;53426;;
œroda;25.03.2020;151;1051;3;13;0;0;0;1615;70528;56930;;
czwartek;26.03.2020;170;1221;3;16;0;0;0;1606;83908;59081;;
pi¹tek;27.03.2020;168;1389;0;16;0;0;0;1696;94297;58306;;
sobota;28.03.2020;249;1638;2;18;0;0;0;1719;97413;56585;;
niedziela;29.03.2020;224;1862;4;22;0;0;0;1879;100215;52612;;
poniedzia³ek;30.03.2020;193;2055;9;31;0;0;0;1900;106525;52370;;
wtorek;31.03.2020;256;2311;2;33;0;0;0;1924;171994;50804;;
œroda;01.04.2020;243;2554;10;43;0;0;0;2317;183095;48039;;
czwartek;02.04.2020;392;2946;14;57;0;0;0;2158;174997;44491;;
pi¹tek;03.04.2020;437;3383;14;71;116;116;3196;2303;160587;41146;;
sobota;04.04.2020;244;3627;8;79;18;134;3414;2434;131888;39157;;
niedziela;05.04.2020;475;4102;15;94;28;162;3846;2444;143256;37295;;
poniedzia³ek;06.04.2020;311;4413;9;103;29;191;4119;2476;148130;36 391;;
wtorek;07.04.2020;435;4848;26;129;31;222;4497;2425;153390;33 273;;
œroda;08.04.2020;356;5204;29;158;62;284;4762;2473;152898;33 989;;
czwartek;09.04.2020;370;5574;16;174;34;318;5082;2409;158663;33 879;;
pi¹tek;10.04.2020;380;5954;7;181;57;375;5398;2426;166973;31 370;;
sobota;11.04.2020;401;6355;27;208;64;439;5708;2481;162974;30 982;;
niedziela;12.04.2020;318;6673;23;231;48;487;5955;2510;151548;29 571;;
poniedzia³ek;13.04.2020;260;6933;13;244;131;618;6071;2471;144875;28 665;;
wtorek;14.04.2020;269;7202;18;262;50;668;6272;2499;145875;28 084;;
œroda;15.04.2020;380;7582;22;284;106;774;6524;2607;142220;25 923;;
czwartek;16.04.2020;336;7918;28;312;92;866;6740;2673;138004;25 773;;
pi¹tek;17.04.2020;461;8379;18;330;115;981;7068;2725;118361;25 273;;
sobota;18.04.2020;363;8742;15;345;59;1040;7357;2482;124311;17 436;;
niedziela;19.04.2020;545;9287;13;358;93;1133;7796;2511;111079;17 266;;
poniedzia³ek;20.04.2020;306;9593;20;378;164;1297;7918;2914;105602;21 364;;
wtorek;21.04.2020;263;9856;20;398;216;1513;7945;3505;98020;22 731;;
œroda;22.04.2020;313;10169;25;423;227;1740;8006;3099;103129;21 781;;
czwartek;23.04.2020;342;10511;28;451;204;1944;8116;3095;97905;20 546;;
pi¹tek;24.04.2020;381;10892;40;491;182;2126;8275;2821;87003;19 653;;
sobota;25.04.2020;381;11273;30;521;139;2265;8487;2749;79656;19 116;;
niedziela;26.04.2020;344;11617;12;533;201;2466;8618;2759;78878;18 693;;
poniedzia³ek;27.04.2020;285;11902;27;560;189;2655;8687;2934;82643;18394;;
wtorek;28.04.2020;316;12218;34;594;370;3025;8599;2973;85837;18 016;;
œroda;29.04.2020;422;12640;28;622;211;3236;8782;3012;88265;18 874;;
czwartek;30.04.2020;237;12877;20;642;255;3491;8744;2789;92458;18 433;;
pi¹tek;01.05.2020;228;13105;7;649;271;3762;8694;2649;95625;18 383;;
sobota;02.05.2020;270;13375;12;661;183;3945;8769;2761;96612;18 306;;
niedziela;03.05.2020;318;13693;15;676;150;4095;8922;2653;96699;17785;;
poniedzia³ek;04.05.2020;313;14006;19;695;185;4280;9031;2738;100765;17 291;;
wtorek;05.05.2020;425;14431;19;714;375;4655;9062;2760;101395;17 081;;
œroda;06.05.2020;309;14740;18;732;207;4862;9146;2711;103913;16 765;;
czwartek;07.05.2020;307;15047;22;754;322;5184;9109;2758;104024;17 540;;
pi¹tek;08.05.2020;319;15366;20;774;253;5437;9155;2768;102996;17 155;;
sobota;09.05.2020;285;15651;9;783;261;5698;9170;2658;100784;17 225;;
niedziela;10.05.2020;345;15996;15;798;118;5816;9382;2598;97002;17 051;;
poniedzia³ek;11.05.2020;330;16326;11;809;315;6131;9386;2571;96211;17771;;
wtorek;12.05.2020;595;16921;28;837;279;6410;9674;2648;96062;18 009;;
œroda;13.05.2020;283;17204;23;860;286;6696;9648;2538;96708;18 256;;
czwartek;14.05.2020;411;17615;22;882;222;6918;9815;2579;95068;18 363;;
pi¹tek;15.05.2020;401;18016;24;906;257;7175;9935;2407;90386;18 355;;
sobota;16.05.2020;241;18257;8;914;276;7451;9892;2459;84542;18 195;;
niedziela;17.05.2020;272;18529;10;924;177;7628;9977;2544;80947;18 772;;
poniedzia³ek;18.05.2020;356;18885;11;935;275;7903;10047;2490;76645;18 831;;
wtorek;19.05.2020;383;19268;12;947;280;8183;10138;2414;76957;18 984;;
œroda;20.05.2020;471;19739;14;961;269;8452;10326;2330;77461;19 729;;
czwartek;21.05.2020;404;20143;10;971;279;8731;10441;2261;77768;19 500;;
pi¹tek;22.05.2020;476;20619;10;981;246;8977;10661;2271;80635;19 836;;
sobota;23.05.2020;312;20931;11;992;217;9194;10745;2242;79326;19 529;;
niedziela;24.05.2020;395;21326;3;995;82;9276;11055;2268;78259;19 587;;
poniedzia³ek;25.05.2020;305;21631;11;1006;744;10020;10605;2171;78864;19 139;;
wtorek;26.05.2020;443;22074;17;1023;310;10330;10721;2320;79007;19 682;;
œroda;27.05.2020;399;22473;4;1027;230;10560;10886;2248;79818;19 373;;
czwartek;28.05.2020;352;22825;10;1037;132;10692;11096;2035;79995;18 224;;
pi¹tek;29.05.2020;330;23155;13;1050;324;11016;11089;2207;80182;19 161;;
sobota;30.05.2020;416;23571;10;1060;255;11271;11240;2134;78823;18 947;;
niedziela;31.05.2020;215;23786;3;1063;178;11449;11274;2181;77406;18 859;;
